,topic,model_name,summ_sent,sent_label,exp,type,category
4,Presidential helicopter cost,model_A,President Obama has called for reforms in the procurement process to prevent such costly oversights in the future.,no,The document does not explicitly mention that President Obama has called for reforms in the procurement process to prevent such costly oversights in the future.,Extrinsic Information,main
5,Presidential helicopter cost,model_B,"The cost of the new presidential helicopter is more than $400 million each, making it more expensive than Air Force One.",no,"1. The cost in around $400 million each, not ""more than""
2. The cost of Air Force One is roughly the same as one of these helicopters.",Nuanced Meaning Shift,main
18,Presidential helicopter cost,model_E,The cost of one helicopter is more expensive than Air Force One and the F22 fighter jet.,no,"The document mentions that the F22 fighter jet ""cost roughly the same as one of these helicopters"".",Nuanced Meaning Shift,main
21,Procurement process issues,Model-Extra,"Requirements kept being added, resulting in a fleet of 28 helicopters costing over $400 million each.",no,"In the phrase ""over $400 million each"", ""over"" should be replaced with ""around"".",Nuanced Meaning Shift,main
26,Procurement process issues,model_B,"The procurement process for the new presidential helicopter has been criticized as ""amuck"" by President Obama, who suggested looking no further than the White House lawn for cost-saving measures.",no,"It was John McCain, not Obama, who suggested looking to the White House for cost-saving",Mis-Referencing,main
28,Procurement process issues,model_B,"The new helicopter is designed to protect the president from missile attacks and improve communications, but its price tag is higher than the cost of Air Force One.",no,"According to the source document, the cost of Air Force One is roughly the same as one of the helicopters.",Nuanced Meaning Shift,main
37,Replacement of aging fleet,model_A,"The new fleet is expected to cost more than $11.7 billion, with each helicopter costing around $400 million, which is more expensive than the Air Force One planes.",no,"The source document does not mention the amount that the entire fleet will cost, and doing the math (28 helicopters X 400 millions each) the stated amount "" $11.7 billion"" is not accurate.",Reasoning Error,main
39,Replacement of aging fleet,model_A,The new helicopters will be able to fly farther and protect the president in case of a nuclear attack.,no,"Per source document, they want helicopters to go ""300 miles in the event of a nuclear attack"", which does not necessarily mean they would ""protect"" the president from the nuclear attack.",Reasoning Error,main
45,Replacement of aging fleet,model_B,"The current fleet is over budget and overdue, with additional requirements added over time.",no,"According to the source document, it is not the ""current fleet"" that is ""over budget and overdue"", but the one they are intending to replace the current fleet with.",Mis-Referencing,main
53,Replacement of aging fleet,model_D,"Some have questioned the cost of the program, with Senator John McCain noting that the cost of the helicopter is now greater than that of Air Force One.",no,"Per source document Senator John McCain noted that the cost of the helicopter is as much as Air Force One, not ""greater"" as claimed in the sentence.",Nuanced Meaning Shift,main
56,Replacement of aging fleet,model_E,The total cost of the fleet is more expensive than Air Force One.,no,"According to the source document, it is not that ""the total cost of the fleet"", but each helicopter is more expensive that Air Force One.",Mis-Referencing,main
61,Airlines' commitment to service improvements,model_B,Airlines' commitment to service improvements is under scrutiny as the Transportation Department's inspector general is set to release a report.,no,"It is not that the commitment to service improvements is under scrutiny, but that the service of the airlines itself is under scrutiny and has prompted a report from the inspector general.",Nuanced Meaning Shift,main
63,Airlines' commitment to service improvements,model_B,"Issues such as quoting the cheapest fare, informing passengers of oversold flights, timely luggage delivery, and transparency about delays are still areas of concern.",no,"""Timely luggage delivery"" is misleading as it obscures that this is in fact reference to LOST luggage",Nuanced Meaning Shift,main
