,topic,model_name,summ_sent,sent_label,exp,type,category
1,Date of Public Hearing,model_A,"The date for the public hearing on the petition of the Seattle City LT Department for the vacation of Pontius Avenue North between Danny Way and John Street in the South Lake Union Urban Center neighborhood of Seattle has been set to July 30, 2021, at 9:30 am at the Belltown Community Center.",no,"There is no explicit mention of ""2021"" in the dialogue.",Extrinsic Information,main
6,Impact of Denny Substation Construction,model_A,The Denny Substation construction in a residential neighborhood in Seattle is a controversial issue.,no,The source article mentions that this is not a controversial issue but rather for people to know that there is a hearing about this construction.,Mis-Referencing,main
9,Impact of Denny Substation Construction,model_A,The public hearing on the petition for the vacation of Pontius Avenue North between Danny Way and John Street will be held on July 30 at 9:30 AM at the Belltown Community Center.,no,The source article states that the public hearing on the petition for the vacation of Pontius Avenue North between Danny Way and John Street will be held on July 30 at 5:30PM at the Belltown Community Center.,Mis-Referencing,main
10,Impact of Denny Substation Construction,model_B,The Seattle City Council held a public hearing on July 30 at 9:30 AM at the Belltown Community Center to discuss the petition of the Seattle City Light Department for the vacation of Pontius Avenue North.,no,"The source article states the public hearing will be on July 30 at 5:30PM, not 9:30AM.",Mis-Referencing,main
13,Impact of Denny Substation Construction,Model-Extra,"The construction of the Denny Substation, though usually placed in less populated areas, will be built in a dense, residential neighborhood.",no,"It is proposed that the substation be built in the neighborhood, but not guaranteed, which is the whole point of setting the date of the hearing so that a final decision can (potentially) be made.",Tense/Modality Error,main
21,Impact of Denny Substation Construction,model_E,"The document is discussing a public hearing to be held on July 30th, 2023 at 9:30 AM at the Belltown Community Center to discuss the construction of the Denny substation, a large Seattle City Light project in the Cascade neighborhood.",no,"It is not clear in the document that the hearing will be held in 2023, also the public hearing will be 5:30PM.",Mis-Referencing,main
24,Location of Danny Substation,Model-Extra,The 9:30 AM hearing will be at the Belltown Community Center.,no,"The text mentions a hearing time of 9:30AM, but later confirms that the meeting time is 5:30PM.",Mis-Referencing,marginal
29,Location of Danny Substation,model_B,"The public hearing will be held on July 30th, at 936 in the morning at the Belltown Community Center.",no,The time is initially presented as 936 in the morning but later corrected in the document to 530 in the evening.,Mis-Referencing,marginal
30,Location of Danny Substation,model_B,"The construction of the Denny substation, a Seattle City Light project in a densely populated area, is highlighted as a non-controversial issue.",no,"The document says that ""allegations"" (the word choice here is unusual) but that the speaker want to draw attention to ""this one."" It may not make it controversial, but it negates the claim that it's non-controversial.",Mis-Referencing,marginal
35,Location of Danny Substation,model_E,The public hearing is set for July 30 at 9:30am at the Belltown Community Center to discuss the petition of the Seattle City Light Department for the vacation of Pontius Avenue North between Danny Way and John Street in the South Lake Union Urban Center neighborhood.,no,"The text mentions a hearing time of 9:30AM, but later confirms that the meeting time is 5:30PM.",Mis-Referencing,marginal
47,Development of Office Space,model_C,The city council unanimously approved the project and commended the company for being a great corporate partner.,no,It is not clear in the document that the proposal was approved with unanimous consent.,Reasoning Error,main
59,Support for Lazar Fish Expansion,Model-Extra,"The council unanimously approved vacating an alley to support expansion of Lazar Fish, a local tech company.",no,"The text mentions support for approving the expansion of Lazar Fish, but it does not mention a unanimous vote to do so.",Extrinsic Information,main
79,Fire Impact Fees,model_B,"The City Council is requesting a report on the current fire impact fees and how they are utilized, with the goal of reevaluating whether the fees are appropriate for funding fire facilities and exploring alternative financing solutions.",no,"""is requesting"" should be replaced with ""requested"" since it already happened ""a very long time ago.""",Tense/Modality Error,main
82,Fire Impact Fees,model_C,The City of Austin is reassessing its fire impact fees and considering alternative financing options for funding fire facilities.,no,The document does not state which city is being discussed.,Extrinsic Information,main
93,Funding Options for Fire Facilities,Model-Extra,"Request report on current fees, revenue, and alternatives like increased fees, public-private partnerships, grants, and bond issuance to fund new facilities and meet infrastructure needs from increased development and density.",no,Those alternatives are not mentioned.,Extrinsic Information,main
97,Funding Options for Fire Facilities,model_B,It suggests that a combination of funding sources may be most effective for meeting the needs of the fire department.,no,"There is not a suggestion for the most effective strategy. The motion is for the allocation of funds, but its funciton is not to rule for a effective funding sources",Extrinsic Information,main
111,Optimizing Property Purchases for Emergency Services,model_B,It suggests strategies for identifying potential properties and financing options for acquiring them.,no,This statement cannot be confirmed straightforwardly.,Extrinsic Information,main
112,Optimizing Property Purchases for Emergency Services,model_B,The document also highlights the need for ongoing maintenance and upkeep of emergency facilities.,no,This statement cannot be confirmed straightforwardly.,Extrinsic Information,main
116,Optimizing Property Purchases for Emergency Services,model_D,"The document discusses the need to optimize and utilize properties purchased for emergency services, including fire and police departments, to meet the needs of the city and potentially serve as community resources.",no,Police departments are not discussed here.,Extrinsic Information,main
136,Investment Report,model_D,"The city of San Francisco divested from Wells Fargo and sold three bonds to another company, resulting in a small loss.",no,"There is no mention of ""San Francisco"" in the source document.",Extrinsic Information,main
139,Investment Report,model_E,"The investment report for the quarter ending June 30th, 2017, recommends accepting the portfolio's performance and divesting from Wells Fargo bonds with a small loss.",no,"The first part of the sentence is correct, but it is not stated that the report recommends ""divesting from Wells Fargo bonds."" Speaker 2 reports that the city already sold three bonds to Wells Fargo, and ""it was about a $2,000 loss.""",Extrinsic Information,main
140,Investment Report,model_E,The city's managers are aware of the no-buy list and are looking for comparable investments.,no,"There is no statement in the document that the managers are looking for ""comparable investments."" Speaker 0 asks whether Speaker 2 is able to find them. Being able to find comparable investments does not necessary means that managers are looking for them.",Extrinsic Information,main
141,Investment Report,model_E,The long-term financial impact is not significant.,no,"it is not stated as a fact that the long-term financial impact is not significant. It is Speaker 2's opinion that it ""probably"" doesn't affect the portfolio.",Tense/Modality Error,main
146,Sale of Bonds,model_A,"The city of Wells Fargo securities as of June 30th, which was the direction from counsel. Last spring.",no,"This sentence is grammatical nonsense, leading to factual inconsistency. Wells Fargo isn't the city in the document, it's company whose bonds the city is selling. June 30th is the date of the investment report, which is also the end of the quarter.",Mis-Referencing,main
150,Sale of Bonds,model_B,The city treasurer believes comparable investments were found and the loss is not expected to affect the portfolio in the long run.,no,"Speaker 0's question ""do you believe that you're able to find comparable investments"" implies that the comparable investments are still being researched while the summary indicates they've already been found.",Nuanced Meaning Shift,main
152,Sale of Bonds,model_B,The regular city council meeting was adjourned and a different item was scheduled for a later date.,no,The special FCIC meeting was adjourned while the regular city counsel meeting was opened. The city counsel meeting was not adjourned.,Nuanced Meaning Shift,main
158,Sale of Bonds,model_E,The document discusses the sale of bonds by the city of San Francisco to Wells Fargo.,no,San Francisco can't be confirmed.,Extrinsic Information,main
159,Sale of Bonds,model_E,"The city sold three bonds at a small gain and one bond at a loss, resulting in a total loss of $2,000.",no,"The total number of bonds sold in the document is three, not four, with one sold at a loss. Though it could be assumed that the other two bonds were sold at a gain (not three), due to the document's wording of ""we sold it at a small gain. One, we sold at a loss."" it's unclear exactly how many were sold at a gain because the ""it"" in ""we sold it at a small gain"" could refer to the a grouping of two bonds.",Nuanced Meaning Shift,main
160,Sale of Bonds,model_E,"The money from the sale was reinvested, and Wells Fargo is on the no-buy list for future investments.",no,The no-buy is until further notice. This sentence implies permanency.,Nuanced Meaning Shift,main
